Half Hour,Stop Name,Route Or Line,Exits,Entries,dayofweek,day
11/1/2023 06:30,Maverick,Blue Line,10,4,Wednesday,Weekday
11/1/2023 06:30,Maverick,Blue Line,61,344,Wednesday,Weekday
11/1/2023 06:30,Maverick,Blue Line,2,8,Wednesday,Weekday
11/1/2023 06:30,Maverick,Blue Line,70,78,Wednesday,Weekday
11/1/2023 06:30,Orient Heights,Blue Line,3,31,Wednesday,Weekday
11/1/2023 06:30,Orient Heights,Blue Line,0,77,Wednesday,Weekday
11/1/2023 06:30,Orient Heights,Blue Line,6,15,Wednesday,Weekday
11/1/2023 06:30,Orient Heights,Blue Line,4,116,Wednesday,Weekday
11/1/2023 06:30,Revere Beach,Blue Line,0,7,Wednesday,Weekday
11/1/2023 06:30,Revere Beach,Blue Line,7,138,Wednesday,Weekday
11/1/2023 06:30,Revere Beach,Blue Line,7,7,Wednesday,Weekday
11/1/2023 06:30,State Street,Blue Line,1,1,Wednesday,Weekday
11/1/2023 06:30,State Street,Blue Line,14,1,Wednesday,Weekday
11/1/2023 06:30,State Street,Blue Line,1,0,Wednesday,Weekday
11/1/2023 06:30,State Street,Blue Line,29,3,Wednesday,Weekday
11/1/2023 06:30,Suffolk Downs,Blue Line,0,9,Wednesday,Weekday
11/1/2023 06:30,Suffolk Downs,Blue Line,2,28,Wednesday,Weekday
11/1/2023 06:30,Suffolk Downs,Blue Line,0,10,Wednesday,Weekday
11/1/2023 06:30,Wonderland,Blue Line,0,69,Wednesday,Weekday
11/1/2023 06:30,Wonderland,Blue Line,6,181,Wednesday,Weekday
11/1/2023 06:30,Wonderland,Blue Line,0,53,Wednesday,Weekday
11/1/2023 06:30,Wood Island,Blue Line,30,70,Wednesday,Weekday
11/1/2023 06:30,Wood Island,Blue Line,3,10,Wednesday,Weekday
11/1/2023 06:30,Government Center,Green Line,64,27,Wednesday,Weekday
11/1/2023 06:30,Government Center,Green Line,15,6,Wednesday,Weekday
11/1/2023 06:30,Government Center,Green Line,22,3,Wednesday,Weekday
11/1/2023 06:30,State Street,Orange Line,5,4,Wednesday,Weekday
11/1/2023 06:30,State Street,Orange Line,129,10,Wednesday,Weekday
11/1/2023 06:30,State Street,Orange Line,5,1,Wednesday,Weekday
11/1/2023 06:30,State Street,Orange Line,265,27,Wednesday,Weekday
11/1/2023 06:30,Courthouse,Silver Line,12,0,Wednesday,Weekday
11/1/2023 06:30,Courthouse,Silver Line,20,12,Wednesday,Weekday
11/1/2023 06:30,Courthouse,Silver Line,27,4,Wednesday,Weekday
11/1/2023 06:30,South Station,Silver Line,23,118,Wednesday,Weekday
11/1/2023 06:30,South Station,Silver Line,5,10,Wednesday,Weekday
11/1/2023 06:30,World Trade Center,Silver Line,9,6,Wednesday,Weekday
11/1/2023 06:30,World Trade Center,Silver Line,19,2,Wednesday,Weekday
11/1/2023 06:30,World Trade Center,Silver Line,8,4,Wednesday,Weekday
11/1/2023 07:00,Airport,Blue Line,9,9,Wednesday,Weekday
11/1/2023 07:00,Airport,Blue Line,93,77,Wednesday,Weekday
11/1/2023 07:00,Airport,Blue Line,5,85,Wednesday,Weekday
11/1/2023 07:00,Airport,Blue Line,25,173,Wednesday,Weekday
11/1/2023 07:00,Aquarium,Blue Line,59,4,Wednesday,Weekday
11/1/2023 07:00,Aquarium,Blue Line,16,3,Wednesday,Weekday
11/1/2023 07:00,Aquarium,Blue Line,73,21,Wednesday,Weekday
11/1/2023 07:00,Beachmont,Blue Line,2,60,Wednesday,Weekday
11/1/2023 07:00,Beachmont,Blue Line,18,119,Wednesday,Weekday
11/1/2023 07:00,Beachmont,Blue Line,5,54,Wednesday,Weekday
11/1/2023 07:00,Bowdoin,Blue Line,42,14,Wednesday,Weekday
11/1/2023 07:00,Bowdoin,Blue Line,68,1,Wednesday,Weekday
11/1/2023 07:00,Government Center,Blue Line,8,4,Wednesday,Weekday
11/1/2023 07:00,Government Center,Blue Line,3,1,Wednesday,Weekday
11/1/2023 07:00,Government Center,Blue Line,7,1,Wednesday,Weekday
11/1/2023 07:00,Maverick,Blue Line,3,3,Wednesday,Weekday
11/1/2023 07:00,Maverick,Blue Line,69,358,Wednesday,Weekday
