X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.1167809994208,42.274381999903,648043,10425,10425,Opp 950 American Legion Hwy,,,,42.274382,-71.116781,LocalBus,,https://www.mbta.com/stops/10425,,0,,1,Boston,American Legion Highway,,3,4.75,Medium,Excellent,Concrete,0,14,BOSTON,Roslindale,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0945929995816,42.2932550001658,648044,10427,10427,American Legion Hwy opp Kingbird Rd,,,,42.293255,-71.094593,LocalBus,,https://www.mbta.com/stops/10427,,0,,1,Boston,American Legion Highway,Ramp - American Legion Highway To Rt 203,3,4.833333333,Medium,Uneven,Grass,0,14,BOSTON,Roxbury,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1444130000879,42.3616680004527,648045,1043,1043,Western Ave @ Mackin St,,,,42.361668,-71.144413,LocalBus,,https://www.mbta.com/stops/1043,,0,,1,Boston,Western Avenue,Mackin Street,3,5.583333333,Low,Good,Concrete,0,70A|70|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1417829995122,42.3621640002002,648046,1045,1045,450 Western Ave,,,,42.362164,-71.141783,LocalBus,,https://www.mbta.com/stops/1045,,0,,1,Boston,Western Avenue,Kelley Court,3,4.916666667,Medium,Good,Concrete,JCD,70A|70|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1397860002545,42.3625310000402,648047,1046,1046,Western Ave @ Litchfield St,,,,42.362531,-71.139786,LocalBus,,https://www.mbta.com/stops/1046,,0,,1,Boston,Western Avenue,Litchfield Street,3,5.416666667,Medium,Good,Concrete,0,70A|70|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.135443000356,42.3630929995912,648048,1049,1049,Western Ave @ Everett St,,,,42.363093,-71.135443,LocalBus,,https://www.mbta.com/stops/1049,,0,,1,Boston,Western Avenue,Everett Street,3,4,Medium,Good,Concrete,0,70A|70|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.128518000237,42.363247999678,648049,1051,1051,Western Ave @ Travis St,,,,42.363248,-71.128518,LocalBus,,https://www.mbta.com/stops/1051,,0,,1,Boston,Western Avenue,Travis Street,3,5.416666667,Medium,Good,Concrete,0,70A|70,BOSTON,Allston,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1250429996362,42.3635259999054,648050,1052,1052,130 Western Ave,,,,42.363526,-71.125043,LocalBus,,https://www.mbta.com/stops/1052,,0,,1,Boston,Western Avenue,,3,8.5,Medium,Good,Concrete,0,70A|70,BOSTON,Allston,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0946839998097,42.3051039999621,648051,10522,10522,Circuit Dr @ Glen Ln,,,,42.305104,-71.094684,LocalBus,,https://www.mbta.com/stops/10522,,0,,1,Boston,Jewish War Veterans Drive,Pierpoint Road,3,12.33333333,Medium,Uneven,Grass,0,34|16|32|36,BOSTON,Roxbury,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1198050002515,42.3639150003353,648052,1053,1053,Western Ave @ Genzyme,,,,42.363915,-71.119805,LocalBus,,https://www.mbta.com/stops/1053,,0,,1,Boston,Western Avenue,,3,6.333333333,Low,Good,Concrete,0,70A|70,BOSTON,Allston,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0846540003068,42.2808859997564,648053,10540,10540,Morton St @ Evans St,,,,42.280886,-71.084654,LocalBus,,https://www.mbta.com/stops/10540,,0,,1,Boston,Morton Street,Evans Street,3,9.166666667,Low,Excellent,Concrete,0,26|21,BOSTON,Dorchester,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1143780005874,42.3619130001482,648054,1055,1055,River St opp Blackstone St,,,,42.361913,-71.114378,LocalBus,,https://www.mbta.com/stops/1055,,0,,1,Cambridge,River Street,Blackstone Street,3,7,Medium,Good,Concrete,JCD/CEMUSA,64|70A|70,CAMBRIDGE,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1123870002672,42.3625649998505,648055,1056,1056,River St @ Fairmont St,,,,42.362565,-71.112387,LocalBus,,https://www.mbta.com/stops/1056,,0,,1,Cambridge,River Street,Fairmont Street,3,4.833333333,Medium,Good,Concrete,0,70A|70,CAMBRIDGE,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0670290005532,42.2762850000155,648056,10569,10569,2165 Dorchester Ave,,,,42.276285,-71.067029,LocalBus,,https://www.mbta.com/stops/10569,,0,,1,Boston,Dorchester Avenue,,3,4,Medium,Good,Concrete,0,217|240|27|24|191,BOSTON,Mattapan,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1106049995722,42.3631559996357,648057,1057,1057,River St @ Kelly Rd,,,,42.363156,-71.110605,LocalBus,,https://www.mbta.com/stops/1057,,0,,1,Cambridge,River Street,Howard Street,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAMBRIDGE,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1089919997962,42.3637360003211,648058,1058,1058,River St opp Kinnaird St,,,,42.363736,-71.108992,LocalBus,,https://www.mbta.com/stops/1058,,0,,1,Cambridge,River Street,Kinnaird Street,3,5.5,Low,Cracked,Concrete,0,70A|70,CAMBRIDGE,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0898680003808,42.2699830000686,648059,10582,10582,River St opp Fremont St,,,,42.269983,-71.089868,LocalBus,,https://www.mbta.com/stops/10582,,0,,1,Boston,River Street,Mamelon Circle,3,4.75,Medium,Good,Asphalt,0,27|24|191,BOSTON,Mattapan,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1051419996316,42.3650719998256,648060,1059,1059,River St @ Green St,,,,42.365072,-71.105142,LocalBus,,https://www.mbta.com/stops/1059,,0,,1,Cambridge,River Street,Green Street,3,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0769559994896,42.3366210003632,648061,10590,10590,Massachusetts Ave @ Washington St,,,,42.336621,-71.076956,LocalBus,,https://www.mbta.com/stops/10590,,0,,1,Boston,Massachusetts Avenue,Washington Street,3,4.5,Medium,Good,Brick,0,1|701,BOSTON,South End,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1086179995871,42.3683899999381,648062,106,106,Massachusetts Ave @ Hancock St,,,,42.36839,-71.108618,LocalBus,,https://www.mbta.com/stops/106,,0,,1,Cambridge,Massachusetts Avenue,Hancock Street,3,7,Low,Excellent,Concrete,0,1,CAMBRIDGE,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.104310999819,42.3651139999121,648063,1060,1060,Magazine St @ Green St,,,,42.365114,-71.104311,LocalBus,,https://www.mbta.com/stops/1060,,0,,1,Cambridge,Magazine Street,Green Street,3,2.333333333,Medium,Good,Brick,0,64|701|91|83,CAMBRIDGE,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1326710003806,42.2822870000631,648064,10603,10603,Washington St @ Durnell Ave,,,,42.282287,-71.132671,LocalBus,,https://www.mbta.com/stops/10603,,0,,1,Boston,Washington Street,Rosecliff Street,3,5.083333333,Low,Good,Concrete,0,34|34E|40|50,BOSTON,Roslindale,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
