ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow
56,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Museum of Fine Arts,place-mfa,775,5122,77,10,67,390
57,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Mission Park,place-mispk,84,5006,77,1,65,105
58,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Newton Highlands,place-newtn,335,4846,77,4,63,294
59,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Newton Centre,place-newto,596,4894,77,8,64,352
60,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Riverway,place-rvrwy,91,3905,77,1,51,63
61,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,North Station,place-north,49784,7061,77,647,92,1347
62,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Northeastern University,place-nuniv,2397,10702,77,31,139,446
63,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Park Street,place-pktrm,195121,114785,77,2534,1491,4422
64,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Pleasant Street,place-plsgr,1039,3295,77,13,43,669
65,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Prudential,place-prmnl,4253,29944,77,55,389,748
66,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Riverside,place-river,0,4054,77,0,53,0
67,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Reservoir,place-rsmnl,1768,8883,77,23,115,449
68,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Riverway,place-rvrwy,58,3909,77,1,51,55
